TEXTURE AT STRAIN =    1.0000
   2.261   3.173   0.119  <-- length of phase ellipsoid axes
 -161.36   78.72   95.59  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
  155.81   34.77 -172.33   0.0003500
