  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.304   0.000   0.000
   0.025   2.000   0.283   0.000   0.000
   0.050   2.000   0.269   0.000   0.001
   0.075   2.000   0.261   0.000   0.001
   0.100   2.000   0.259   0.000   0.001
   0.125   2.000   0.263   0.000   0.002
   0.150   2.000   0.271   0.000   0.005
   0.175   2.000   0.283   0.000   0.012
   0.200   2.000   0.296   0.000   0.027
   0.225   3.000   0.309   0.000   0.052
   0.250   4.000   0.320   0.000   0.082
   0.275   7.000   0.331   0.000   0.114
   0.300   8.000   0.342   0.000   0.143
   0.325   8.000   0.351   0.000   0.169
   0.350   8.000   0.361   0.000   0.192
   0.375  10.000   0.369   0.000   0.212
   0.400  11.000   0.376   0.000   0.229
   0.425  12.000   0.383   0.000   0.243
   0.450  12.000   0.389   0.000   0.256
   0.475  13.000   0.395   0.000   0.267
   0.500  13.000   0.400   0.000   0.276
   0.525  13.000   0.404   0.000   0.285
   0.550  14.000   0.409   0.000   0.292
   0.575  14.000   0.412   0.000   0.298
   0.600  14.000   0.416   0.000   0.303
   0.625  14.000   0.416   0.000   0.303
   0.650  14.000   0.416   0.000   0.303
   0.675  14.000   0.416   0.000   0.303
   0.700  14.000   0.416   0.000   0.303
   0.725  14.000   0.416   0.000   0.303
   0.750  14.000   0.416   0.000   0.303
   0.775  14.000   0.416   0.000   0.303
   0.800  14.000   0.416   0.000   0.303
   0.825  14.000   0.417   0.000   0.303
   0.850  14.000   0.417   0.000   0.303
   0.875  14.000   0.417   0.000   0.303
   0.900  14.000   0.417   0.000   0.303
   0.925  14.000   0.417   0.000   0.303
   0.950  14.000   0.417   0.000   0.303
   0.975  14.000   0.417   0.000   0.303
   1.000  14.000   0.417   0.000   0.303
