TEXTURE AT STRAIN =    1.0000
   2.636   2.942   0.109  <-- length of phase ellipsoid axes
   90.81  112.16  126.98  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
   77.47   50.72 -103.73   0.0003500
