TEXTURE AT STRAIN =    1.0000
   2.748   2.809   0.108  <-- length of phase ellipsoid axes
  100.57  101.07  135.03  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
   82.61   46.58 -103.66   0.0003500
