TEXTURE AT STRAIN =    1.0000
   2.668   2.878   0.107  <-- length of phase ellipsoid axes
  130.06  134.47   -4.38  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
  158.84    4.39 -161.32   0.0003500
