TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  140.00    5.62  -93.68  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
  140.00   11.25 -140.00   0.0003500
