TEXTURE AT STRAIN =    0.3500
   1.024   1.032   0.941  <-- length of phase ellipsoid axes
   61.15    3.68   -7.05  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
   59.56  163.47 -125.54   0.0016500
