TEXTURE AT STRAIN =    0.5000
   2.537   2.958   0.112  <-- length of phase ellipsoid axes
  -46.77    1.36  168.36  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
  164.26   53.68 -138.93   0.0003500
