TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  180.00   90.00   90.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
  101.05  133.91 -109.28   0.0016500
