TEXTURE AT STRAIN =    0.7500
   1.197   1.218   0.677  <-- length of phase ellipsoid axes
  110.31   11.23   -0.15  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
  100.95  146.47 -101.18   0.0016500
