TEXTURE AT STRAIN =    0.9000
   2.631   2.834   0.113  <-- length of phase ellipsoid axes
  -70.36    0.82 -174.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
 -169.70  111.93 -158.56   0.0003500
