TEXTURE AT STRAIN =    0.4500
   1.047   1.064   0.897  <-- length of phase ellipsoid axes
   -5.12   15.25   -9.08  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
  178.79   24.90 -100.07   0.0016500
