TEXTURE AT STRAIN =    0.3000
   1.012   1.020   0.969  <-- length of phase ellipsoid axes
   -5.53   15.82  -14.69  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
  178.29   26.45 -100.43   0.0016500
