TEXTURE AT STRAIN =    0.1000
   1.000   1.013   0.987  <-- length of phase ellipsoid axes
   96.58   29.56  -87.06  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
  100.01  125.35 -125.33   0.0016500
