TEXTURE AT STRAIN =    0.4500
   1.056   1.118   0.846  <-- length of phase ellipsoid axes
   43.03    1.72  -22.92  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
  110.23  119.76 -128.77   0.0016500
