TEXTURE AT STRAIN =    0.7000
   1.159   1.233   0.697  <-- length of phase ellipsoid axes
   13.45    1.53    7.39  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
  110.50  127.02 -133.60   0.0016500
