TEXTURE AT STRAIN =    0.7000
   1.154   1.267   0.680  <-- length of phase ellipsoid axes
  108.19    2.62  -78.31  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
  120.38  100.84 -136.01   0.0016500
