TEXTURE AT STRAIN =    1.0000
   1.994   3.419   0.128  <-- length of phase ellipsoid axes
  122.64   12.25 -166.81  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
  119.95   11.99 -119.54   0.0003500
