TEXTURE AT STRAIN =    0.4500
   1.039   1.159   0.829  <-- length of phase ellipsoid axes
   -8.53    2.82   58.63  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
  140.06   85.89 -130.71   0.0016500
