TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   43.89   46.15  101.31  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
  150.00   75.00 -124.99   0.0016500
