TEXTURE AT STRAIN =    0.6000
   1.127   1.158   0.764  <-- length of phase ellipsoid axes
    6.18    6.32   71.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
  169.54   44.76 -130.18   0.0016500
