TEXTURE AT STRAIN =    0.0500
   1.000   1.007   0.993  <-- length of phase ellipsoid axes
   -6.71   29.94   87.17  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
  169.99   54.79 -125.18   0.0016500
