TEXTURE AT STRAIN =    0.6000
   1.141   1.149   0.760  <-- length of phase ellipsoid axes
  -19.90   11.65   -5.53  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
  169.66   36.05 -103.45   0.0016500
