TEXTURE AT STRAIN =    0.5500
   1.113   1.122   0.799  <-- length of phase ellipsoid axes
    8.54   11.91    2.45  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
  179.51   36.43 -128.18   0.0016500
