TEXTURE AT STRAIN =    1.0000
   2.803   2.814   0.103  <-- length of phase ellipsoid axes
  129.97   67.66    2.25  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
  123.73   17.11 -126.65   0.0003500
