TEXTURE AT STRAIN =    0.1500
   1.000   1.000   0.999  <-- length of phase ellipsoid axes
   20.40    2.12   21.71  <-- Euler angles (deg) of phase ellipsoid axes
B       500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
 -140.11    5.04 -124.88   0.0016500
