TEXTURE AT STRAIN =    0.4500
   1.774   2.863   0.173  <-- length of phase ellipsoid axes
  135.22    1.85   -0.40  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
  125.27    1.49 -125.72   0.0003500
