TEXTURE AT STRAIN =    1.0000
   2.695   2.790   0.109  <-- length of phase ellipsoid axes
  149.93   56.65  168.67  <-- Euler angles (deg) of phase ellipsoid axes
B       500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
 -173.86    8.19 -177.08   0.0003500
