TEXTURE AT STRAIN =    0.4500
   1.076   1.085   0.855  <-- length of phase ellipsoid axes
  -20.78   11.55  107.58  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
  169.47   40.01 -105.62   0.0016500
