TEXTURE AT STRAIN =    0.6500
   1.149   1.171   0.740  <-- length of phase ellipsoid axes
    8.31   11.99   -0.55  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
  179.35   34.17 -129.36   0.0016500
