
*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.421E+00   0.882E+00   0.823E+00
    2   0.587E+00   0.136E+01   0.123E+01
    3   0.648E+00   0.141E+01   0.133E+01
    4   0.542E+00   0.134E+01   0.126E+01
    5   0.367E+00   0.119E+01   0.108E+01
    6   0.206E+00   0.980E+00   0.793E+00
    7   0.993E-01   0.797E+00   0.483E+00
    8   0.575E-01   0.715E+00   0.309E+00
    9   0.528E-01   0.606E+00   0.276E+00
   10   0.426E-01   0.424E+00   0.204E+00
   11   0.353E-01   0.305E+00   0.156E+00
   12   0.402E-01   0.270E+00   0.170E+00
   13   0.432E-01   0.257E+00   0.181E+00
   14   0.398E-01   0.234E+00   0.168E+00
   15   0.332E-01   0.201E+00   0.141E+00
   16   0.261E-01   0.166E+00   0.112E+00
   17   0.195E-01   0.134E+00   0.845E-01
   18   0.147E-01   0.108E+00   0.639E-01
   19   0.112E-01   0.876E-01   0.492E-01
   20   0.895E-02   0.717E-01   0.392E-01
   21   0.740E-02   0.593E-01   0.321E-01
   22   0.606E-02   0.491E-01   0.264E-01
   23   0.501E-02   0.408E-01   0.219E-01
   24   0.417E-02   0.340E-01   0.183E-01
   25   0.349E-02   0.284E-01   0.153E-01
   26   0.293E-02   0.238E-01   0.129E-01
   27   0.247E-02   0.200E-01   0.109E-01
   28   0.208E-02   0.167E-01   0.913E-02
   29   0.186E-02   0.140E-01   0.763E-02
   30   0.155E-02   0.116E-01   0.629E-02
   31   0.128E-02   0.955E-02   0.517E-02
   32   0.105E-02   0.783E-02   0.422E-02
   33   0.861E-03   0.641E-02   0.344E-02
   34   0.702E-03   0.524E-02   0.279E-02
   35   0.570E-03   0.427E-02   0.226E-02
   36   0.462E-03   0.348E-02   0.183E-02
   37   0.375E-03   0.284E-02   0.149E-02
   38   0.305E-03   0.232E-02   0.122E-02
   39   0.250E-03   0.190E-02   0.101E-02
   40   0.206E-03   0.155E-02   0.840E-03
   41   0.171E-03   0.127E-02   0.701E-03
   42   0.142E-03   0.105E-02   0.583E-03
   43   0.118E-03   0.855E-03   0.481E-03

*******   STEP   2      *** NEFF=10 CALCULATION                
    1   0.121E-01   0.479E-01   0.506E-01
    2   0.134E-01   0.596E-01   0.577E-01
    3   0.109E-01   0.503E-01   0.467E-01
    4   0.705E-02   0.340E-01   0.296E-01
    5   0.315E-02   0.180E-01   0.131E-01
    6   0.116E-02   0.960E-02   0.479E-02
    7   0.134E-02   0.895E-02   0.665E-02
    8   0.158E-02   0.918E-02   0.771E-02
    9   0.151E-02   0.825E-02   0.701E-02
   10   0.133E-02   0.691E-02   0.580E-02
   11   0.111E-02   0.544E-02   0.442E-02
   12   0.709E-03   0.352E-02   0.240E-02
   13   0.496E-03   0.253E-02   0.154E-02
   14   0.317E-03   0.187E-02   0.103E-02
   15   0.217E-03   0.174E-02   0.125E-02
   16   0.246E-03   0.191E-02   0.165E-02
   17   0.314E-03   0.208E-02   0.190E-02
   18   0.359E-03   0.214E-02   0.196E-02
   19   0.372E-03   0.204E-02   0.187E-02
   20   0.354E-03   0.183E-02   0.164E-02
   21   0.312E-03   0.153E-02   0.133E-02
   22   0.255E-03   0.118E-02   0.985E-03
   23   0.190E-03   0.837E-03   0.641E-03

*******   STEP   3      *** NEFF=10 CALCULATION                
    1   0.316E-02   0.140E-01   0.107E-01
    2   0.199E-02   0.154E-01   0.791E-02
    3   0.169E-02   0.131E-01   0.704E-02
    4   0.165E-02   0.119E-01   0.721E-02
    5   0.155E-02   0.107E-01   0.696E-02
    6   0.144E-02   0.928E-02   0.619E-02
    7   0.128E-02   0.802E-02   0.551E-02
    8   0.113E-02   0.684E-02   0.475E-02
    9   0.974E-03   0.575E-02   0.398E-02
   10   0.816E-03   0.472E-02   0.320E-02
   11   0.661E-03   0.379E-02   0.247E-02
   12   0.516E-03   0.298E-02   0.182E-02
   13   0.387E-03   0.231E-02   0.129E-02
   14   0.282E-03   0.179E-02   0.923E-03
   15   0.207E-03   0.142E-02   0.737E-03
   16   0.163E-03   0.118E-02   0.687E-03
   17   0.145E-03   0.102E-02   0.681E-03
   18   0.138E-03   0.902E-03   0.657E-03

*******   STEP   4      *** NEFF=10 CALCULATION                
    1   0.960E-02   0.435E-01   0.416E-01
    2   0.120E-01   0.593E-01   0.536E-01
    3   0.102E-01   0.532E-01   0.460E-01
    4   0.792E-02   0.410E-01   0.337E-01
    5   0.484E-02   0.271E-01   0.199E-01
    6   0.253E-02   0.164E-01   0.981E-02
    7   0.143E-02   0.107E-01   0.536E-02
    8   0.105E-02   0.805E-02   0.438E-02
    9   0.884E-03   0.642E-02   0.379E-02
