    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.000     0.028     0.412     0.022     0.002     0.002     0.118     2.063     0.090     0.010     0.007
     0.025     0.031     0.411     0.018     0.002     0.002     0.099     2.080     0.076     0.009     0.006
     0.050     0.037     0.411     0.016     0.002     0.002     0.090     2.083     0.071     0.008     0.006
     0.075     0.045     0.412     0.015     0.002     0.002     0.087     2.074     0.071     0.009     0.005
     0.100     0.056     0.414     0.015     0.002     0.002     0.086     2.048     0.078     0.010     0.005
     0.125     0.066     0.417     0.016     0.002     0.002     0.083     1.999     0.091     0.012     0.004
     0.150     0.075     0.419     0.018     0.002     0.002     0.074     1.920     0.110     0.016     0.003
     0.175     0.079     0.422     0.019     0.003     0.001     0.061     1.809     0.136     0.022     0.002
     0.200     0.081     0.424     0.021     0.003     0.000     0.047     1.679     0.169     0.029     0.001
     0.225     0.081     0.426     0.022     0.003     0.000     0.032     1.534     0.207     0.037     0.000
     0.250     0.079     0.428     0.024     0.003     0.001     0.017     1.389     0.250     0.044     0.000
     0.275     0.076     0.430     0.026     0.004     0.001     0.003     1.248     0.295     0.052     0.000
     0.300     0.072     0.431     0.027     0.004     0.001     0.012     1.118     0.342     0.059     0.000
     0.325     0.067     0.433     0.029     0.004     0.002     0.028     0.997     0.389     0.065     0.001
     0.350     0.062     0.435     0.031     0.004     0.002     0.043     0.889     0.437     0.072     0.002
     0.375     0.056     0.437     0.033     0.004     0.002     0.056     0.799     0.482     0.077     0.003
     0.400     0.050     0.439     0.034     0.004     0.003     0.064     0.733     0.524     0.083     0.004
     0.425     0.044     0.441     0.034     0.004     0.003     0.067     0.689     0.563     0.088     0.004
     0.450     0.040     0.442     0.033     0.004     0.003     0.064     0.663     0.596     0.091     0.004
     0.475     0.035     0.444     0.032     0.004     0.003     0.059     0.640     0.630     0.094     0.004
     0.500     0.031     0.445     0.031     0.003     0.003     0.052     0.625     0.659     0.097     0.003
     0.525     0.028     0.445     0.030     0.003     0.003     0.050     0.639     0.674     0.097     0.003
     0.550     0.025     0.446     0.029     0.003     0.003     0.047     0.656     0.682     0.097     0.003
     0.575     0.022     0.446     0.028     0.003     0.004     0.045     0.670     0.691     0.096     0.002
     0.600     0.019     0.446     0.028     0.003     0.004     0.042     0.684     0.699     0.096     0.002
     0.625     0.017     0.446     0.027     0.003     0.004     0.039     0.698     0.704     0.095     0.002
     0.650     0.015     0.446     0.026     0.003     0.005     0.036     0.710     0.709     0.094     0.001
     0.675     0.012     0.445     0.025     0.003     0.005     0.032     0.721     0.712     0.092     0.001
     0.700     0.011     0.445     0.024     0.003     0.006     0.029     0.732     0.714     0.091     0.001
     0.725     0.009     0.445     0.023     0.002     0.007     0.026     0.742     0.715     0.089     0.001
     0.750     0.007     0.444     0.023     0.002     0.007     0.023     0.751     0.717     0.088     0.002
     0.775     0.006     0.444     0.022     0.002     0.008     0.019     0.759     0.717     0.086     0.002
     0.800     0.004     0.443     0.021     0.002     0.009     0.016     0.767     0.717     0.084     0.003
     0.825     0.003     0.442     0.021     0.002     0.010     0.014     0.774     0.717     0.082     0.004
     0.850     0.002     0.442     0.020     0.002     0.012     0.011     0.781     0.717     0.080     0.005
     0.875     0.001     0.441     0.019     0.002     0.013     0.008     0.787     0.718     0.078     0.006
     0.900     0.000     0.440     0.019     0.002     0.014     0.005     0.794     0.719     0.076     0.008
     0.925     0.001     0.439     0.018     0.001     0.016     0.001     0.799     0.721     0.074     0.010
     0.950     0.001     0.439     0.017     0.001     0.018     0.004     0.805     0.723     0.073     0.013
     0.975     0.002     0.438     0.017     0.001     0.019     0.011     0.811     0.727     0.073     0.018
     1.000     0.002     0.437     0.016     0.001     0.022     0.019     0.821     0.730     0.073     0.027
